ident,name,latitude_deg,longitude_deg,elevation_ft,iso_country,municipality,iata_code,local_code
00A,Total Rf Heliport,40.07080078,-74.93360138,11,US,Bensalem,,00A
00AK,Lowell Field,59.94919968,-151.6959991,450,US,Anchor Point,,00AK
00AL,Epps Airpark,34.8647995,-86.77030182,820,US,Harvest,,00AL
00AR,Newport Hospital & Clinic Heliport,35.6086998,-91.25489807,237,US,Newport,,00AR
00AZ,Cordes Airport,34.30559921,-112.1650009,3810,US,Cordes,,00AZ
00CA,Goldstone /Gts/ Airport,35.3504982,-116.8880005,3038,US,Barstow,,00CA
00CO,Cass Field,40.62220001,-104.3440018,4830,US,Briggsdale,,00CO
00FA,Grass Patch Airport,28.64550018,-82.21900177,53,US,Bushnell,,00FA
00FD,Ringhaver Heliport,28.84659958,-82.34539795,25,US,Riverview,,00FD
00FL,River Oak Airport,27.23089981,-80.96920013,35,US,Okeechobee,,00FL
00GA,Lt World Airport,33.76750183,-84.06829834,700,US,Lithonia,,00GA
00GE,Caffrey Heliport,33.88420105,-84.73390198,957,US,Hiram,,00GE
00HI,Kaupulehu Heliport,19.83250046,-155.9819946,43,US,Kailua/Kona,,00HI
00ID,Delta Shores Airport,48.14530182,-116.2139969,2064,US,Clark Fork,,00ID
00II,Bailey Generation Station Heliport,41.64450073,-87.12280273,600,US,Chesterton,,00II
00IL,Hammer Airport,41.97840118,-89.56040192,840,US,Polo,,00IL
00IN,St Mary Medical Center Heliport,41.51139832,-87.26059723,634,US,Hobart,,00IN
00IS,Hayenga's Cant Find Farms Airport,40.02560043,-89.12290192,820,US,Kings,,00IS
00KS,Hayden Farm Airport,38.72779846,-94.93049622,1100,US,Gardner,,00KS
00KY,Robbins Roost Airport,37.40940094,-84.61969757,1265,US,Stanford,,00KY
00LA,Shell Chemical East Site Heliport,30.191944,-90.980833,15,US,Gonzales,,00LA
00LL,Ac & R Components Heliport,39.66529846,-89.70559692,600,US,Chatham,,00LL
00LS,Lejeune Airport,30.13629913,-92.42939758,12,US,Esterwood,,00LS
00MD,Slater Field,38.75709915,-75.75379944,45,US,Federalsburg,,00MD
00MI,Dow Chemical Heliport,43.94940186,-86.41670227,588,US,Ludington,,00MI
00MN,Battle Lake Municipal Airport,46.29999924,-95.70030212,1365,US,Battle Lake,,00MN
00MO,Cooper Flying Service Airport,37.20280075,-94.41239929,970,US,Alba,,00MO
00MT,Sands Ranch Airport,48.53749847,-109.7050018,2600,US,Havre,,00MT
00N,Bucks Airport,39.47320175,-75.18520355,105,US,Bridgeton,,00N
00NC,North Raleigh Airport,36.08520126,-78.37139893,348,US,Louisburg,,00NC
00NJ,Colgate-Piscataway Heliport,40.52090073,-74.47460175,78,US,New Brunswick,,00NJ
00NY,Weiss Airfield,42.90010071,-77.49970245,1000,US,West Bloomfield,,00NY
00OH,Exit 3 Airport,41.59090042,-84.14219666,785,US,Wauseon,,00OH
00OI,Miami Valley Hospital Heliport,39.74530029,-84.18740082,905,US,Dayton,,00OI
00OR,Steel Systems Heliport,44.93289948,-123.1299973,195,US,Salem,,00OR
00PA,R J D Heliport,39.94889832,-75.74690247,402,US,Coatesville,,00PA
00PN,Ferrell Field,41.2995,-80.211111,1301,US,Mercer,,00PN
00PS,Thomas Field,40.37779999,-77.36530304,815,US,Loysville,,00PS
00S,Mc Kenzie Bridge State Airport,44.18320084,-122.0889969,1620,US,Mc Kenzie Bridge,,00S
00SC,Flying O Airport,34.00939941,-80.26719666,150,US,Sumter,,00SC
00TA,Sw Region Faa Heliport,32.82690048,-97.30580139,598,US,Fort Worth,,00TA
00TE,Tcjc-Northeast Campus Heliport,32.84759903,-97.1894989,600,US,Fort Worth,,00TE
00TN,Ragsdale Road Airport,35.51589966,-85.95359802,1100,US,Manchester,,00TN
00TS,Alpine Range Airport,32.60760117,-97.24199677,670,US,Everman,,00TS
00TX,San Jacinto Methodist Hospital Heliport,29.73769951,-94.98020172,19,US,Baytown,,00TX
00UT,Clear Creek Ranch Airport,37.24779892,-112.8219986,6138,US,Kanab,,00UT
00VA,Vaughan Airport,36.57600021,-78.9991684,551,US,Alton,,00VA
00VI,Groundhog Mountain Airport,36.66329956,-80.49949646,2680,US,Hillsville,,00VI
00W,Lower Granite State Airport,46.67350006,-117.4430008,719,US,Colfax,,00W
00WA,Howell Airport,47.17839813,-122.7720032,150,US,Longbranch,,00WA
00WI,Northern Lite Airport,44.3042984,-89.05010223,860,US,Waupaca,,00WI
00WN,Hawks Run Airport,46.25,-117.2490005,2900,US,Asotin,,00WN
00WV,Lazy J. Aerodrome,38.82889938,-79.8660965,2060,US,Beverly,,00WV
00XS,L P Askew Farms Airport,33.03340149,-101.9339981,3110,US,O'Donnell,,00XS
01A,Purkeypile Airport,62.9435997,-152.2700043,1950,US,Purkeypile,,01A
01AK,Providence Seward Medical Center Heliport,60.10587398,-149.446249,120,US,Seward,,01AK
01AL,Ware Island Airport,32.94599915,-86.51390076,344,US,Clanton,,01AL
01AR,Community Hospital of De Queen Heliport,34.04729843,-94.35489655,400,US,De Queen,,01AR
01AZ,Yat Heliport,34.60810089,-111.8649979,3300,US,Camp Verde,,01AZ
01C,Grant Airport,43.34170151,-85.77500153,815,US,Grant,,01C
01CA,Lugo Substation Heliport,34.36824059,-117.3700587,3733,US,Hesperia,,01CA
01CL,Swansboro Country Airport,38.79990005,-120.7340012,2594,US,Placerville,,01CL
01CN,Los Angeles County Sheriff's Department Heliport,34.03779984,-118.1539993,300,US,Los Angeles,,01CN
01CO,St Vincent General Hospital Heliport,39.24530029,-106.2460022,10175,US,Leadville,,01CO
01CT,Berlin Fairgrounds Heliport,41.62730026,-72.72750092,60,US,Berlin,,01CT
01FA,Rybolt Ranch Airport,28.58939934,-81.14420319,55,US,Orlando,,01FA
01FD,Florida Hospital-Altamonte Heliport,28.66640091,-81.37059784,86,US,Altamonte Springs,,01FD
01FL,Cedar Knoll Flying Ranch Airport,28.78190041,-81.15920258,19,US,Geneva,,01FL
01GA,Medical Center Heliport,32.47930145,-84.97910309,319,US,Columbus,,01GA
01GE,The Farm Airport,32.67440033,-82.77110291,375,US,Wrightsville,,01GE
01IA,Stender Airport,41.66109848,-90.74130249,725,US,Maysville,,01IA
01ID,Lava Hot Springs Airport,42.60820007,-112.0319977,5268,US,Lava Hot Springs,,01ID
01II,Myers Field,39.88499832,-86.50669861,950,US,Lizton,,01II
01IL,Hoopeston Community Memorial Hospital Heliport,40.45859909,-87.65950012,583,US,Hoopeston,,01IL
01IN,Community Hospital Heliport,40.13090134,-85.69580078,890,US,Anderson,,01IN
01IS,William E. Koenig Airport,39.01620102,-90.31819916,670,US,Dow,,01IS
01J,Hilliard Airpark,30.68630028,-81.90570068,59,US,Hilliard,,01J
01K,Caldwell Municipal Airport,37.03609848,-97.58640289,1157,US,Caldwell,,01K
01KS,Flying N Ranch Airport,38.54059982,-97.00330353,1485,US,Lost Springs,,01KS
01KY,Lourdes Hospital Heliport,37.05170059,-88.64689636,419,US,Paducah,,01KY
01LA,Barham Airport,32.63899994,-91.7736969,90,US,Oak Ridge,,01LA
01LL,Schumaier Restricted Landing Area,38.12580109,-89.46389771,555,US,Pinckneyville,,01LL
